tic_count                        unused                   temperature                      unus p9               p8               p7               p6               p5               p4               p3               p2               pcore
00000000000001001001000111111001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001001000001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001010001001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001011010001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001100011001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001101100001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001110101001 000000000000000000000000 00100011111000101101101000100011 0000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001001111110001 000000000000000000000000 00100011110110110111111001111111 0000 0001000010001110 1011011011011111 0000001100001011 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000010111100000101001001101001100111
00000000000001001001010000111001 000000000000000000000000 00100011110110110111111010000000 0000 1101011111011000 0000110010100001 1011000110001000 0011001010000001 0000101010010100 0000011111110011 1101001110001100 0010010111100011 000010101101110101111001011110001011
00000000000001001001010010000001 000000000000000000000000 00100011110110110111111001111111 0000 1111111111101010 1111111110011000 0000000000011100 0000000010101111 0000000000101101 1111111101010010 1111111110100010 1111111100011010 000010011100001100000110011000000110
00000000000001001001010011001001 000000000000000000000000 00100011110110110111111010000000 0000 1111111110101101 0000000000110001 0000000001110000 0000000000000011 1111111110011000 1111111111010000 0000000001000111 0000000001101000 000010011100001100000110010001101100
00000000000001001001010100010001 000000000000000000000000 00100011110110110111111001111111 0000 0000000000100111 0000000000011010 1111111111010111 1111111111010100 1111111111111110 0000000001010101 0000000001000110 1111111111001100 000010011100001100000110010010100001
00000000000001001001010101011001 000000000000000000000000 00100011110110110111111001111111 0000 1111111111100101 1111111111001001 0000000000000000 0000000000100000 0000000001100101 0000000000100001 1111111101011010 1111111111011001 000010011100001100000110010011111110
00000000000001001001010110100001 000000000000000000000000 00100011110110110111111001111111 0000 1111111111001001 0000000001000111 0000000000101010 0000000000100110 1111111111001110 1111111110100000 0000000000100110 0000000001001100 000010011100001100000110010010100101
